BFS,SHAPE.AREA,SHAPE.LEN
248,91722.45623891,1635.87266681734
261,3791.4193625,269.44794089458
261,4055.699695,595.006364109505
96,2287.2386325,274.959620247914
96,3811.078114,291.291340253146
261,16997.272465,1157.33122285418
261,3841.830817,465.534785947168
261,2460.894133145,403.192524807642
261,565691.009451255,5747.1418159644
261,12768.69501127,1105.55119554428
261,959.129432,163.834571889831
261,92667.00882906,1580.41889921348
261,12708.32522037,572.915145758811
66,77254.9184201,1165.94612981385
261,2766.57329822,331.310603235006
261,1026790.24586414,9930.65376367518
195,1966.06960152,200.149310650707
248,750935.008746215,5684.03452932316
248,38157.599964,1455.76258472437
261,22617.043232695,829.425276421838
261,3784.837875,256.774366831605
261,2669.4108915,305.690430030261
261,20361.06408967,1256.29395631249
245,107766.78948495,2142.27515786641
245,908.211566,144.126251201904
261,39590.46061105,860.778686125261
261,8617.639919,494.613600442081
261,14590.476449585,925.747250797837
261,10004.54532035,578.016361066076
261,15444.92708265,1151.06643622341
261,13208.6797025,925.456978976097
261,1545.138409,177.884143786824
261,4824.16955744,476.830371375919
261,23884.05495535,928.112795562528
161,456766.131281865,4237.70714795029
261,471.59537543,184.797072696042
261,56888.32639689,2169.90355186648
261,2313989.35542706,12938.5435272092
261,10308.467387255,928.424189764931
261,178854.74700143,2555.27452211885
261,9187.558248,510.07533928361
261,4099.16152498,607.723261066884
261,821.9656838,129.441613597192
261,9174.214568935,920.310385442018
261,2361.270334,416.440270506553
261,10873.4073105,758.999636380773
261,901.96219622,175.262534163216
261,3455.070875085,341.19038173428
261,4646.76267538,558.839782288044
261,3841.5671855,526.775404585936
261,2293.3063407,293.328707861427
96,72286.911710005,2509.01031158716
13,26514.65052564,839.630138839593
261,128.2185435,65.2026408103716
261,12908.257148965,1031.92648056238
261,1181232.80452965,8889.29306456342
261,1045.143023,298.463998768334
131,221.358928,139.85542171368
261,5792.08332999,621.999429603675
261,182080.111955345,2135.64886208568
261,1858.84952087,353.642625665342
261,18846.46301933,770.623433754808
261,93912.09005256,1925.53922460124
261,228456.12554804,9657.58912578426
261,3202.059284,319.542062256025
261,49249.15271186,1051.3106110289
261,1980.09626274,205.282132641051
191,415591.594958045,2956.63823689173
250,15435.09540725,1019.05009616697
261,1721997.08273927,8112.86979321093
96,1209442.01366114,6188.32895822515
261,2292.636771195,937.498433659314
261,1812.230489,311.614081641577
261,3255.48629444,545.940077482414
261,2597.725089605,313.402877909777
261,5266.232064495,364.201027272039
261,1549.119017,189.567713332283
261,1590389.0733953,8636.63403030715
96,1969.566727,320.954342479977
13,18931.015724125,962.040705053427
261,306.8409765,257.769908295129
261,8287.9626273,664.372831176183
261,11348.170207215,676.776305136489
191,339219.5147425,6107.42071813887
161,270892.4436591,6149.38914164408
191,1034902.55294056,9468.31494638335
193,1682.388054,184.656276386294
193,932731.07669422,7687.92532311951
261,5413540.77360693,34083.559658467
261,549.9558775,212.562570225312
261,26373.088493,1082.56034677767
261,28196.124914705,1446.28796779307
261,4769.1742665,1062.22252314748
261,2851.293389325,331.590672607737
261,154480.67881803,3900.71097925267
261,5184.3936225,518.688941251194
261,3385.153187,255.989066166161
261,75.981625545,47.6398474304282
261,1171.01947765,155.214820916925
261,6936.93726665,414.392986229778
261,9358.006006325,729.880024002299
261,16359.25094715,999.510218564031
261,4741.13152825,352.671411994026
261,89275.788206995,1557.75039379836
261,1199.07927275,233.509686380276
261,3910982.21568172,16425.2090141
261,3465.334204,325.35842994508
261,944.0588395,161.950331543779
261,1868.247177025,458.494323227236
261,5234.3243605,385.290099700067
261,1864.092063485,243.976390102667
261,2606.4974965,359.555492638048
261,119838.45879136,1801.03492773428
191,12532.0456243,1062.26887677763
195,2304.71779701,403.724789682988
